Year,Data
1970,148.41836
1971,165.56635
1972,199.11153
1973,240.64362000000003
1974,290.91081
1975,358.59417
1976,408.91415
1977,499.11227
1978,542.03584
1979,658.33237
1980,742.8100599999998
1981,806.80137
1982,945.2677
1983,1047.63923
1984,1119.5232
1985,1250.11177
1986,1280.37461
1987,1398.80131
1988,1515.88021
1989,1578.79438
1990,1649.19978
1991,1705.85018
1992,1811.45136
1993,1860.53644
1994,1967.87536
1995,1903.06258
1996,2026.64281
1997,2122.096
1998,2240.01963
1999,2296.07828
2000,2512.17256
2001,2640.13592
2002,2689.7205
2003,2792.27015
2004,2982.93257
2005,3287.57162
2006,3744.21723
2007,4111.42512
2008,4310.53168
2009,4314.61229
