Year,Data
1970,2.19804
1971,2.2789200000000003
1972,2.25975
1973,2.45673
1974,3.4469199999999995
1975,3.92732
1976,4.15218
1977,4.4352
1978,4.71465
1979,6.16496
1980,8.79232
1981,9.96173
1982,9.54303
1983,8.34559
1984,8.307089999999999
1985,8.40408
1986,6.72893
1987,7.230460000000001
1988,6.789060000000001
1989,7.644360000000002
1990,8.68939
1991,7.98172
1992,8.458639999999999
1993,8.85219
1994,8.81757
1995,8.8814
1996,9.77202
1997,9.69542
1998,8.21214
1999,8.90824
2000,11.39465
2001,10.72597
2002,9.97448
2003,12.30348
2004,14.73559
2005,18.1403
2006,20.00947
2007,21.20025
2008,25.26525
2009,17.60474
