Year,Data
1970,2.5001
1971,2.57784
1972,2.86856
1973,2.90144
1974,3.48175
1975,4.67483
1976,5.0263
1977,6.03359
1978,7.05449
1979,8.77939
1980,9.97526
1981,11.03261
1982,12.93375
1983,13.817279999999998
1984,14.393070000000002
1985,15.22746
1986,15.6626
1987,14.37391
1988,15.08405
1989,15.38792
1990,16.094479999999994
1991,16.6057
1992,17.35759
1993,17.51814
1994,16.895
1995,16.62334
1996,16.6308
1997,16.18955
1998,15.754970000000002
1999,15.9196
2000,16.16254
2001,16.83655
2002,16.60708
2003,16.91291
2004,17.62878
2005,18.43427
2006,20.42193
2007,21.2483
2008,22.92597
2009,23.15201
