Year,Data
1970,2.9488
1971,2.98135
1972,3.29005
1973,3.66212
1974,4.59048
1975,5.26905
1976,5.74444
1977,6.94128
1978,8.233839999999999
1979,9.73858
1980,11.09813
1981,12.66518
1982,14.00176
1983,14.82248
1984,15.80815
1985,16.31263
1986,17.35664
1987,17.22971
1988,18.22377
1989,18.79996
1990,18.36889
1991,18.54916
1992,19.78659
1993,20.15547
1994,19.89912
1995,19.80175
1996,19.95617
1997,19.506220000000006
1998,19.07686
1999,19.33807
2000,19.62449
2001,19.98416
2002,20.31587
2003,20.43627
2004,20.87839
2005,22.339920000000006
2006,24.40656
2007,25.19936
2008,26.70492
2009,27.745890000000006
