MSN,Year,Data
TEACV,1970,3750.39808
TEACV,1971,4021.05368
TEACV,1972,4125.87746
TEACV,1973,4756.62483
TEACV,1974,6864.21746
TEACV,1975,7763.150890000001
TEACV,1976,8536.2481
TEACV,1977,9583.0659
TEACV,1978,10524.48164
TEACV,1979,14093.88531
TEACV,1980,19290.67859
TEACV,1981,22095.25379
TEACV,1982,20691.50131
TEACV,1983,17970.212190000002
TEACV,1984,18407.44725
TEACV,1985,18026.23667
TEACV,1986,14174.090719999998
TEACV,1987,15216.12926
TEACV,1988,16191.273980000002
TEACV,1989,18196.61446
TEACV,1990,20897.16186
TEACV,1991,18741.11265
TEACV,1992,20562.38314
TEACV,1993,20079.44958
TEACV,1994,20354.15531
TEACV,1995,21050.85822
TEACV,1996,23476.73676
TEACV,1997,24016.02235
TEACV,1998,20856.4505
TEACV,1999,25186.96244
TEACV,2000,32612.162480000006
TEACV,2001,30910.03376
TEACV,2002,30030.5827
TEACV,2003,38123.73867
TEACV,2004,45036.20467
TEACV,2005,55138.65527999999
TEACV,2006,63421.96745
TEACV,2007,68690.01552
TEACV,2008,79898.80941
TEACV,2009,55601.62655
TECCV,1970,907.99331
TECCV,1971,1031.70819
TECCV,1972,1169.5591
TECCV,1973,1316.4697
TECCV,1974,1647.3102199999996
TECCV,1975,2168.91802
TECCV,1976,2478.32199
TECCV,1977,3144.82074
TECCV,1978,3441.83811
TECCV,1979,3752.29777
TECCV,1980,5390.95536
TECCV,1981,6280.99905
TECCV,1982,6744.33763
TECCV,1983,6365.58476
TECCV,1984,7136.552940000001
TECCV,1985,7573.6435900000015
TECCV,1986,7479.286359999999
TECCV,1987,7690.78598
TECCV,1988,8088.7086
TECCV,1989,8799.26356
TECCV,1990,9707.24834
TECCV,1991,10157.14588
TECCV,1992,10386.11688
TECCV,1993,10314.78722
TECCV,1994,10782.88182
TECCV,1995,10746.10189
TECCV,1996,10115.87302
TECCV,1997,10784.5248
TECCV,1998,11065.18298
TECCV,1999,10532.43866
TECCV,2000,11973.60861
TECCV,2001,15149.56692
TECCV,2002,15753.80554
TECCV,2003,15803.89894
TECCV,2004,16179.32286
TECCV,2005,16891.578230000006
TECCV,2006,18537.83513
TECCV,2007,18847.84313
TECCV,2008,19335.76494
TECCV,2009,18716.52188
TEICV,1970,952.87083
TEICV,1971,1039.77363
TEICV,1972,1140.81348
TEICV,1973,1360.38636
TEICV,1974,1976.72417
TEICV,1975,2364.65781
TEICV,1976,2780.12093
TEICV,1977,3483.78849
TEICV,1978,3708.39795
TEICV,1979,4757.95682
TEICV,1980,6304.05123
TEICV,1981,6693.81636
TEICV,1982,6943.63121
TEICV,1983,6680.32649
TEICV,1984,7980.290209999999
TEICV,1985,8311.99293
TEICV,1986,6818.16478
TEICV,1987,7210.76627
TEICV,1988,6933.508309999998
TEICV,1989,7414.17597
TEICV,1990,7858.9142299999985
TEICV,1991,7894.41344
TEICV,1992,7896.80372
TEICV,1993,7076.27108
TEICV,1994,7560.842309999999
TEICV,1995,7789.404340000001
TEICV,1996,7644.44821
TEICV,1997,8522.16613
TEICV,1998,7876.638809999998
TEICV,1999,7941.51707
TEICV,2000,10346.14937
TEICV,2001,12085.53375
TEICV,2002,10191.1222
TEICV,2003,11851.42819
TEICV,2004,13203.8944
TEICV,2005,14832.75676
TEICV,2006,14547.40666
TEICV,2007,14334.34378
TEICV,2008,15982.614780000002
TEICV,2009,11655.8205
TERCV,1970,1401.41973
TERCV,1971,1616.69365
TERCV,1972,1762.36731
TERCV,1973,1930.39444
TERCV,1974,2318.68234
TERCV,1975,2673.71467
TERCV,1976,2879.08696
TERCV,1977,3078.07989
TERCV,1978,3388.22868
TERCV,1979,3981.0349
TERCV,1980,5113.5962
TERCV,1981,5481.36639
TERCV,1982,6598.19608
TERCV,1983,6836.868559999999
TERCV,1984,7034.72676
TERCV,1985,7779.08833
TERCV,1986,7207.5317
TERCV,1987,7841.400509999998
TERCV,1988,8676.47084
TERCV,1989,9351.62984
TERCV,1990,10001.60814
TERCV,1991,10747.46628
TERCV,1992,10760.55251
TERCV,1993,11078.29354
TERCV,1994,11505.56842
TERCV,1995,11347.13881
TERCV,1996,11427.4527
TERCV,1997,11908.94131
TERCV,1998,12080.65496
TERCV,1999,12111.80216
TERCV,2000,13269.71794
TERCV,2001,14947.56419
TERCV,2002,13702.491219999998
TERCV,2003,15159.02108
TERCV,2004,15849.5272
TERCV,2005,17221.97521
TERCV,2006,19470.50504
TERCV,2007,19441.73493
TERCV,2008,20057.66287
TERCV,2009,18737.71969
