MSN,Year,Data
TEACD,1970,2.06715
TEACD,1971,2.12878
TEACD,1972,2.1581900000000003
TEACD,1973,2.42091
TEACD,1974,3.65449
TEACD,1975,4.0176300000000005
TEACD,1976,4.1714
TEACD,1977,4.37712
TEACD,1978,4.46767
TEACD,1979,6.03911
TEACD,1980,8.22221
TEACD,1981,9.49108
TEACD,1982,9.34111
TEACD,1983,8.01865
TEACD,1984,7.80038
TEACD,1985,7.68
TEACD,1986,5.827000000000001
TEACD,1987,5.9510000000000005
TEACD,1988,5.97861
TEACD,1989,6.51083
TEACD,1990,7.43357
TEACD,1991,7.020110000000002
TEACD,1992,7.72157
TEACD,1993,7.64542
TEACD,1994,7.42273
TEACD,1995,7.5224600000000015
TEACD,1996,8.24963
TEACD,1997,8.65055
TEACD,1998,7.454039999999999
TEACD,1999,8.8085
TEACD,2000,10.84328
TEACD,2001,10.46072
TEACD,2002,9.6245
TEACD,2003,11.69602
TEACD,2004,14.1543
TEACD,2005,16.84444
TEACD,2006,19.05039
TEACD,2007,20.37062
TEACD,2008,24.91814
TEACD,2009,17.83812
TECCD,1970,2.08354
TECCD,1971,2.1531
TECCD,1972,2.50828
TECCD,1973,2.75258
TECCD,1974,3.5386300000000004
TECCD,1975,4.35749
TECCD,1976,5.1229
TECCD,1977,6.2971
TECCD,1978,6.8990800000000005
TECCD,1979,6.9583
TECCD,1980,9.55526
TECCD,1981,10.66328
TECCD,1982,12.28794
TECCD,1983,12.76286
TECCD,1984,13.90496
TECCD,1985,15.060529999999998
TECCD,1986,14.98664
TECCD,1987,14.11206
TECCD,1988,13.75443
TECCD,1989,14.486670000000002
TECCD,1990,15.04083
TECCD,1991,15.861579999999998
TECCD,1992,16.67621
TECCD,1993,17.71794
TECCD,1994,18.50765
TECCD,1995,17.67983
TECCD,1996,17.607020000000006
TECCD,1997,18.00146
TECCD,1998,16.61512
TECCD,1999,17.46285
TECCD,2000,19.72948
TECCD,2001,23.57061
TECCD,2002,24.65041
TECCD,2003,24.8049
TECCD,2004,24.10463
TECCD,2005,25.29654
TECCD,2006,26.97346
TECCD,2007,26.85945
TECCD,2008,26.953540000000004
TECCD,2009,26.54499
TEICD,1970,0.90046
TEICD,1971,0.97897
TEICD,1972,1.05901
TEICD,1973,1.19249
TEICD,1974,1.79473
TEICD,1975,2.2465200000000003
TEICD,1976,2.64785
TEICD,1977,3.20689
TEICD,1978,3.73053
TEICD,1979,4.31629
TEICD,1980,6.2398099999999985
TEICD,1981,7.09972
TEICD,1982,7.9392
TEICD,1983,8.36097
TEICD,1984,7.652989999999999
TEICD,1985,7.929019999999999
TEICD,1986,7.12264
TEICD,1987,6.57821
TEICD,1988,6.87655
TEICD,1989,6.80172
TEICD,1990,6.985060000000002
TEICD,1991,7.107010000000002
TEICD,1992,7.08462
TEICD,1993,6.44865
TEICD,1994,6.7831100000000015
TEICD,1995,6.974080000000002
TEICD,1996,6.937689999999999
TEICD,1997,7.045089999999999
TEICD,1998,6.31379
TEICD,1999,6.32854
TEICD,2000,8.18246
TEICD,2001,9.71918
TEICD,2002,8.29016
TEICD,2003,9.94303
TEICD,2004,10.40074
TEICD,2005,12.29466
TEICD,2006,12.86068
TEICD,2007,12.83209
TEICD,2008,14.75705
TEICD,2009,11.37219
TERCD,1970,1.9086
TERCD,1971,1.95166
TERCD,1972,2.10209
TERCD,1973,2.34955
TERCD,1974,2.9677
TERCD,1975,3.18617
TERCD,1976,3.5603
TERCD,1977,4.09597
TERCD,1978,4.43775
TERCD,1979,4.77374
TERCD,1980,6.70303
TERCD,1981,7.55742
TERCD,1982,8.54027
TERCD,1983,9.20114
TERCD,1984,9.68919
TERCD,1985,9.83537
TERCD,1986,10.02182
TERCD,1987,10.10753
TERCD,1988,10.9933
TERCD,1989,11.49212
TERCD,1990,12.364
TERCD,1991,13.37752
TERCD,1992,13.87885
TERCD,1993,13.96691
TERCD,1994,14.24261
TERCD,1995,14.95784
TERCD,1996,14.78869
TERCD,1997,15.54811
TERCD,1998,13.830329999999998
TERCD,1999,13.94069
TERCD,2000,16.58016
TERCD,2001,18.39846
TERCD,2002,16.81356
TERCD,2003,18.30891
TERCD,2004,18.66978
TERCD,2005,20.81939
TERCD,2006,23.03873
TERCD,2007,23.15749
TERCD,2008,23.38181
TERCD,2009,22.24905
