Year,Data
1970,952.87083
1971,1039.77363
1972,1140.81348
1973,1360.38636
1974,1976.72417
1975,2364.65781
1976,2780.12093
1977,3483.78849
1978,3708.39795
1979,4757.95682
1980,6304.05123
1981,6693.81636
1982,6943.63121
1983,6680.32649
1984,7980.290209999999
1985,8311.99293
1986,6818.16478
1987,7210.76627
1988,6933.508309999998
1989,7414.17597
1990,7858.9142299999985
1991,7894.41344
1992,7896.80372
1993,7076.27108
1994,7560.842309999999
1995,7789.404340000001
1996,7644.44821
1997,8522.16613
1998,7876.638809999998
1999,7941.51707
2000,10346.14937
2001,12085.53375
2002,10191.1222
2003,11851.42819
2004,13203.8944
2005,14832.75676
2006,14547.40666
2007,14334.34378
2008,15982.614780000002
2009,11655.8205
