Year,Data
1970,1401.41973
1971,1616.69365
1972,1762.36731
1973,1930.39444
1974,2318.68234
1975,2673.71467
1976,2879.08696
1977,3078.07989
1978,3388.22868
1979,3981.0349
1980,5113.5962
1981,5481.36639
1982,6598.19608
1983,6836.868559999999
1984,7034.72676
1985,7779.08833
1986,7207.5317
1987,7841.400509999998
1988,8676.47084
1989,9351.62984
1990,10001.60814
1991,10747.46628
1992,10760.55251
1993,11078.29354
1994,11505.56842
1995,11347.13881
1996,11427.4527
1997,11908.94131
1998,12080.65496
1999,12111.80216
2000,13269.71794
2001,14947.56419
2002,13702.491219999998
2003,15159.02108
2004,15849.5272
2005,17221.97521
2006,19470.50504
2007,19441.73493
2008,20057.66287
2009,18737.71969
