Year,Data
1970,1.9086
1971,1.95166
1972,2.10209
1973,2.34955
1974,2.9677
1975,3.18617
1976,3.5603
1977,4.09597
1978,4.43775
1979,4.77374
1980,6.70303
1981,7.55742
1982,8.54027
1983,9.20114
1984,9.68919
1985,9.83537
1986,10.02182
1987,10.10753
1988,10.9933
1989,11.49212
1990,12.364
1991,13.37752
1992,13.87885
1993,13.96691
1994,14.24261
1995,14.95784
1996,14.78869
1997,15.54811
1998,13.830329999999998
1999,13.94069
2000,16.58016
2001,18.39846
2002,16.81356
2003,18.30891
2004,18.66978
2005,20.81939
2006,23.03873
2007,23.15749
2008,23.38181
2009,22.24905
