Year,Data
1970,240.39635
1971,258.8124
1972,276.09843
1973,316.32391
1974,447.11018
1975,510.78672
1976,549.77095
1977,621.86429
1978,692.1555400000002
1979,877.679
1980,1183.62096
1981,1513.85285
1982,1343.17284
1983,1100.57629
1984,1124.4760199999996
1985,1146.65099
1986,946.53967
1987,1055.8899
1988,1066.25612
1989,1164.84553
1990,1306.67288
1991,1277.70806
1992,1374.5694
1993,1439.17983
1994,1378.31925
1995,1226.0073
1996,1534.3058
1997,1621.15057
1998,1457.3175199999996
1999,1606.50693
2000,2042.04557
2001,1971.30339
2002,1887.2736
2003,2175.78045
2004,2747.28976
2005,3594.419720000001
2006,4252.21817
2007,4550.14876
2008,5144.23628
2009,3535.75519
