Year,Data
1970,76.94335
1971,83.49611999999998
1972,92.04804
1973,104.10459
1974,148.30173
1975,164.63743
1976,192.89777
1977,233.89737
1978,272.2463
1979,320.3270100000001
1980,432.88666
1981,526.3691
1982,384.57819
1983,487.67307
1984,555.92935
1985,435.36554
1986,361.27786
1987,361.6176
1988,359.4035
1989,402.02981
1990,516.3527799999998
1991,578.49864
1992,502.23201
1993,537.8809200000002
1994,514.65302
1995,529.1787400000002
1996,502.73998
1997,534.15449
1998,486.2801
1999,493.28105
2000,583.3553
2001,520.3987400000002
2002,460.17533
2003,579.56671
2004,670.4329299999998
2005,793.02572
2006,814.06553
2007,1125.92403
2008,1246.69638
2009,776.9347
