Year,Data
1970,81.75453
1971,87.45537
1972,97.65514
1973,101.89411
1974,116.94288
1975,126.85946
1976,148.35162
1977,169.92954
1978,199.07194
1979,241.68585
1980,291.9643200000001
1981,296.3067200000001
1982,358.5354700000001
1983,408.28209
1984,432.17044
1985,469.8207
1986,449.25499
1987,464.36562
1988,473.69803
1989,498.17925
1990,539.51425
1991,549.11447
1992,538.6882
1993,563.66277
1994,577.98533
1995,547.7977599999998
1996,576.053
1997,667.9981700000002
1998,661.62184
1999,663.69931
2000,735.56975
2001,909.10562
2002,780.9877799999998
2003,863.82725
2004,945.59152
2005,1093.42979
2006,1140.04483
2007,1187.24108
2008,1308.36132
2009,1165.49581
