Year,Data
1970,1.36796
1971,1.4572
1972,1.63521
1973,1.97532
1974,2.40856
1975,2.73791
1976,2.7059
1977,3.86827
1978,4.58294
1979,5.40244
1980,6.76727
1981,8.33159
1982,9.57723
1983,8.79711
1984,10.30049
1985,12.60048
1986,11.70354
1987,11.44732
1988,9.79673
1989,10.64812
1990,11.6487
1991,11.53468
1992,10.86619
1993,11.6915
1994,12.75447
1995,12.06328
1996,11.65091
1997,12.17233
1998,12.36754
1999,11.83635
2000,12.55402
2001,13.72179
2002,12.98907
2003,14.10796
2004,14.71587
2005,16.2271
2006,16.95451
2007,16.732129999999998
2008,18.89534
2009,16.61226
