Year,Data
1970,0.65213
1971,0.69743
1972,0.7446
1973,0.93036
1974,1.30142
1975,1.5193
1976,1.68543
1977,2.47761
1978,2.91554
1979,4.2941400000000005
1980,4.99084
1981,6.16837
1982,7.06335
1983,6.61908
1984,6.916639999999999
1985,7.80479
1986,7.12874
1987,6.839289999999999
1988,6.50809
1989,6.7227
1990,7.6303100000000015
1991,6.5469300000000015
1992,6.16011
1993,6.31113
1994,6.35547
1995,6.11592
1996,6.92665
1997,6.79847
1998,6.2424300000000015
1999,6.05729
2000,7.60728
2001,8.26941
2002,7.23308
2003,8.39343
2004,9.90145
2005,11.98591
2006,13.13928
2007,13.77333
2008,17.21014
2009,12.9546
