Year,Data
1970,2305.55932
1971,2499.85759
1972,2684.37259
1973,3036.96988
1974,4546.36856
1975,5233.32053
1976,5712.56484
1977,6550.377079999998
1978,6931.7364
1979,9522.5259
1980,12568.41206
1981,15076.28285
1982,14875.82298
1983,13377.50803
1984,13760.05802
1985,14403.57435
1986,10659.49389
1987,11752.5046
1988,11962.2792
1989,13052.70685
1990,15480.98677
1991,14716.70064
1992,14693.73252
1993,14811.37179
1994,15263.24849
1995,15359.16805
1996,17870.91804
1997,17624.70881
1998,15834.46582
1999,17328.50061
2000,23916.90549
2001,23393.98751
2002,22843.52432
2003,25850.7241
2004,32242.93493
2005,42327.27806
2006,50280.54376
2007,54983.90296
2008,66549.85655
2009,43123.08536000001
