Year,Data
1970,1.89199
1971,2.0639
1972,2.20834
1973,2.2264
1974,3.00224
1975,3.89639
1976,4.41056
1977,5.00281
1978,5.55799
1979,5.92159
1980,7.7499
1981,9.61516
1982,10.75045
1983,11.03858
1984,11.98636
1985,12.37667
1986,11.39241
1987,10.77947
1988,10.89262
1989,11.02549
1990,11.6852
1991,12.09738
1992,12.25984
1993,13.32794
1994,13.41548
1995,12.22992
1996,13.15792
1997,12.90683
1998,13.32296
1999,13.34522
2000,14.24462
2001,16.61833
2002,13.77375
2003,16.21631
2004,17.36846
2005,20.84345
2006,23.18473
2007,22.76712
2008,25.12054
2009,21.891820000000006
