Year,Data
1970,0.64178
1971,0.6704
1972,0.7400399999999999
1973,0.81888
1974,1.4966
1975,1.97061
1976,2.3912400000000003
1977,2.6829400000000003
1978,2.90226
1979,3.93001
1980,4.80964
1981,5.577369999999998
1982,5.92504
1983,6.05736
1984,5.99695
1985,5.10018
1986,4.18222
1987,3.8636
1988,3.69133
1989,3.4667800000000004
1990,4.11205
1991,3.96773
1992,3.95342
1993,4.01598
1994,4.237
1995,4.05275
1996,4.86835
1997,4.76485
1998,3.87516
1999,4.42687
2000,6.26361
2001,6.15754
2002,5.36116
2003,7.19738
2004,8.65896
2005,11.08443
2006,12.80624
2007,13.98049
2008,17.69396
2009,11.14863
