MSN,Year,Data
TEACD,1970,2.07168
TEACD,1971,2.16246
TEACD,1972,2.1425400000000003
TEACD,1973,2.20379
TEACD,1974,3.21939
TEACD,1975,3.5435800000000004
TEACD,1976,3.7103
TEACD,1977,3.9486
TEACD,1978,3.96445
TEACD,1979,5.28904
TEACD,1980,7.419869999999999
TEACD,1981,8.76112
TEACD,1982,8.37143
TEACD,1983,7.55247
TEACD,1984,7.44718
TEACD,1985,7.456239999999998
TEACD,1986,5.36175
TEACD,1987,6.03255
TEACD,1988,5.88063
TEACD,1989,6.40299
TEACD,1990,7.57155
TEACD,1991,7.29292
TEACD,1992,7.11725
TEACD,1993,7.19503
TEACD,1994,7.2664300000000015
TEACD,1995,7.37562
TEACD,1996,7.9009
TEACD,1997,7.59696
TEACD,1998,6.44382
TEACD,1999,7.104360000000002
TEACD,2000,9.56094
TEACD,2001,8.97841
TEACD,2002,8.52673
TEACD,2003,9.94961
TEACD,2004,12.18757
TEACD,2005,16.00014
TEACD,2006,18.11708
TEACD,2007,19.53397
TEACD,2008,24.13368
TEACD,2009,16.409860000000002
TECCD,1970,1.89199
TECCD,1971,2.0639
TECCD,1972,2.20834
TECCD,1973,2.2264
TECCD,1974,3.00224
TECCD,1975,3.89639
TECCD,1976,4.41056
TECCD,1977,5.00281
TECCD,1978,5.55799
TECCD,1979,5.92159
TECCD,1980,7.7499
TECCD,1981,9.61516
TECCD,1982,10.75045
TECCD,1983,11.03858
TECCD,1984,11.98636
TECCD,1985,12.37667
TECCD,1986,11.39241
TECCD,1987,10.77947
TECCD,1988,10.89262
TECCD,1989,11.02549
TECCD,1990,11.6852
TECCD,1991,12.09738
TECCD,1992,12.25984
TECCD,1993,13.32794
TECCD,1994,13.41548
TECCD,1995,12.22992
TECCD,1996,13.15792
TECCD,1997,12.90683
TECCD,1998,13.32296
TECCD,1999,13.34522
TECCD,2000,14.24462
TECCD,2001,16.61833
TECCD,2002,13.77375
TECCD,2003,16.21631
TECCD,2004,17.36846
TECCD,2005,20.84345
TECCD,2006,23.18473
TECCD,2007,22.76712
TECCD,2008,25.12054
TECCD,2009,21.891820000000006
TEICD,1970,0.64178
TEICD,1971,0.6704
TEICD,1972,0.7400399999999999
TEICD,1973,0.81888
TEICD,1974,1.4966
TEICD,1975,1.97061
TEICD,1976,2.3912400000000003
TEICD,1977,2.6829400000000003
TEICD,1978,2.90226
TEICD,1979,3.93001
TEICD,1980,4.80964
TEICD,1981,5.577369999999998
TEICD,1982,5.92504
TEICD,1983,6.05736
TEICD,1984,5.99695
TEICD,1985,5.10018
TEICD,1986,4.18222
TEICD,1987,3.8636
TEICD,1988,3.69133
TEICD,1989,3.4667800000000004
TEICD,1990,4.11205
TEICD,1991,3.96773
TEICD,1992,3.95342
TEICD,1993,4.01598
TEICD,1994,4.237
TEICD,1995,4.05275
TEICD,1996,4.86835
TEICD,1997,4.76485
TEICD,1998,3.87516
TEICD,1999,4.42687
TEICD,2000,6.26361
TEICD,2001,6.15754
TEICD,2002,5.36116
TEICD,2003,7.19738
TEICD,2004,8.65896
TEICD,2005,11.08443
TEICD,2006,12.80624
TEICD,2007,13.98049
TEICD,2008,17.69396
TEICD,2009,11.14863
TERCD,1970,2.48408
TERCD,1971,2.62296
TERCD,1972,2.77896
TERCD,1973,3.07
TERCD,1974,3.6534
TERCD,1975,4.068219999999998
TERCD,1976,4.71687
TERCD,1977,5.4261
TERCD,1978,5.97973
TERCD,1979,6.48245
TERCD,1980,8.50168
TERCD,1981,10.65265
TERCD,1982,12.4467
TERCD,1983,13.25443
TERCD,1984,13.14188
TERCD,1985,13.70302
TERCD,1986,12.93312
TERCD,1987,12.42155
TERCD,1988,12.88811
TERCD,1989,13.0081
TERCD,1990,13.966879999999998
TERCD,1991,14.46231
TERCD,1992,14.68974
TERCD,1993,15.34294
TERCD,1994,15.86334
TERCD,1995,15.521720000000002
TERCD,1996,15.559070000000002
TERCD,1997,15.83237
TERCD,1998,16.28718
TERCD,1999,16.39387
TERCD,2000,17.70184
TERCD,2001,19.63542
TERCD,2002,17.61431
TERCD,2003,20.46009
TERCD,2004,22.250020000000006
TERCD,2005,25.58533
TERCD,2006,30.20505
TERCD,2007,27.9086
TERCD,2008,30.24882
TERCD,2009,28.19682
