MSN,Year,Data
ABICB,1960,0.0
ABICB,1961,0.0
ABICB,1962,0.0
ABICB,1963,0.0
ABICB,1964,0.0
ABICB,1965,0.0
ABICB,1966,0.0
ABICB,1967,0.0
ABICB,1968,0.0
ABICB,1969,0.0
ABICB,1970,0.0
ABICB,1971,0.0
ABICB,1972,0.0
ABICB,1973,0.0
ABICB,1974,0.0
ABICB,1975,0.0
ABICB,1976,0.0
ABICB,1977,0.0
ABICB,1978,0.0
ABICB,1979,0.0
ABICB,1980,0.0
ABICB,1981,1.0
ABICB,1982,2.0
ABICB,1983,0.0
ABICB,1984,0.0
ABICB,1985,0.0
ABICB,1986,0.0
ABICB,1987,0.0
ABICB,1988,0.0
ABICB,1989,0.0
ABICB,1990,0.0
ABICB,1991,0.0
ABICB,1992,0.0
ABICB,1993,0.0
ABICB,1994,0.0
ABICB,1995,0.0
ABICB,1996,0.0
ABICB,1997,0.0
ABICB,1998,0.0
ABICB,1999,0.0
ABICB,2000,0.0
ABICB,2001,0.0
ABICB,2002,0.0
ABICB,2003,0.0
ABICB,2004,0.0
ABICB,2005,0.0
ABICB,2006,0.0
ABICB,2007,0.0
ABICB,2008,0.0
ABICB,2009,0.0
ABICB,2010,0.0
ABICB,2011,0.0
ABICB,2012,0.0
ABICB,2013,0.0
ABICB,2014,0.0
ABICB,2015,0.0
ABICP,1960,0.0
ABICP,1961,0.0
ABICP,1962,0.0
ABICP,1963,0.0
ABICP,1964,0.0
ABICP,1965,0.0
ABICP,1966,0.0
ABICP,1967,0.0
ABICP,1968,0.0
ABICP,1969,0.0
ABICP,1970,0.0
ABICP,1971,0.0
ABICP,1972,0.0
ABICP,1973,0.0
ABICP,1974,0.0
ABICP,1975,0.0
ABICP,1976,0.0
ABICP,1977,0.0
ABICP,1978,0.0
ABICP,1979,0.0
ABICP,1980,0.0
ABICP,1981,0.0
ABICP,1982,0.0
ABICP,1983,0.0
ABICP,1984,0.0
ABICP,1985,0.0
ABICP,1986,0.0
ABICP,1987,0.0
ABICP,1988,0.0
ABICP,1989,0.0
ABICP,1990,0.0
ABICP,1991,0.0
ABICP,1992,0.0
ABICP,1993,0.0
ABICP,1994,0.0
ABICP,1995,0.0
ABICP,1996,0.0
ABICP,1997,0.0
ABICP,1998,0.0
ABICP,1999,0.0
ABICP,2000,0.0
ABICP,2001,0.0
ABICP,2002,0.0
ABICP,2003,0.0
ABICP,2004,0.0
ABICP,2005,0.0
ABICP,2006,0.0
ABICP,2007,0.0
ABICP,2008,0.0
ABICP,2009,0.0
ABICP,2010,0.0
ABICP,2011,0.0
ABICP,2012,0.0
ABICP,2013,0.0
ABICP,2014,0.0
ABICP,2015,0.0
ARICB,1960,5726.0
ARICB,1961,6275.0
ARICB,1962,5741.0
ARICB,1963,8194.0
ARICB,1964,7749.0
ARICB,1965,7369.0
ARICB,1966,12551.0
ARICB,1967,13391.0
ARICB,1968,15229.0
ARICB,1969,18103.0
ARICB,1970,24414.0
ARICB,1971,19444.0
ARICB,1972,23661.0
ARICB,1973,22666.0
ARICB,1974,26101.0
ARICB,1975,15467.0
ARICB,1976,13486.0
ARICB,1977,14402.0
ARICB,1978,17829.0
ARICB,1979,19633.0
ARICB,1980,13677.0
ARICB,1981,10863.0
ARICB,1982,10099.0
ARICB,1983,10929.0
ARICB,1984,16489.0
ARICB,1985,17009.0
ARICB,1986,16791.0
ARICB,1987,16535.0
ARICB,1988,17806.0
ARICB,1989,15832.0
ARICB,1990,15705.0
ARICB,1991,14472.0
ARICB,1992,19801.0
ARICB,1993,15447.0
ARICB,1994,17083.0
ARICB,1995,20823.0
ARICB,1996,16324.0
ARICB,1997,17945.0
ARICB,1998,26355.0
ARICB,1999,25312.0
ARICB,2000,22752.0
ARICB,2001,17039.0
ARICB,2002,23431.0
ARICB,2003,23017.0
ARICB,2004,31934.0
ARICB,2005,30780.0
ARICB,2006,27373.0
ARICB,2007,27034.0
ARICB,2008,23059.0
ARICB,2009,19000.0
ARICB,2010,20002.0
ARICB,2011,20563.0
ARICB,2012,18436.0
ARICB,2013,16386.0
ARICB,2014,16284.0
ARICB,2015,17082.0
ARICD,1970,0.6
ARICD,1971,0.81
ARICD,1972,0.82
ARICD,1973,0.85
ARICD,1974,1.72
ARICD,1975,1.87
ARICD,1976,1.65
ARICD,1977,1.77
ARICD,1978,1.92
ARICD,1979,2.45
ARICD,1980,3.63
ARICD,1981,4.48
ARICD,1982,4.19
ARICD,1983,4.16
ARICD,1984,4.58
ARICD,1985,4.76
ARICD,1986,4.33
ARICD,1987,3.21
ARICD,1988,3.28
ARICD,1989,2.84
ARICD,1990,2.71
ARICD,1991,3.34
ARICD,1992,2.99
ARICD,1993,2.95
ARICD,1994,2.96
ARICD,1995,3.29
ARICD,1996,3.55
ARICD,1997,3.57
ARICD,1998,3.57
ARICD,1999,3.19
ARICD,2000,3.17
ARICD,2001,3.46
ARICD,2002,3.65
ARICD,2003,4.01
ARICD,2004,4.56
ARICD,2005,4.81
ARICD,2006,5.19
ARICD,2007,5.48
ARICD,2008,5.65
ARICD,2009,11.77
ARICD,2010,13.01
ARICD,2011,14.44
ARICD,2012,15.82
ARICD,2013,14.69
ARICD,2014,14.69
ARICD,2015,11.99
ARICP,1960,863.0
ARICP,1961,946.0
ARICP,1962,865.0
ARICP,1963,1235.0
ARICP,1964,1168.0
ARICP,1965,1110.0
ARICP,1966,1891.0
ARICP,1967,2018.0
ARICP,1968,2295.0
ARICP,1969,2728.0
ARICP,1970,3679.0
ARICP,1971,2930.0
ARICP,1972,3566.0
ARICP,1973,3416.0
ARICP,1974,3933.0
ARICP,1975,2331.0
ARICP,1976,2032.0
ARICP,1977,2170.0
ARICP,1978,2687.0
ARICP,1979,2959.0
ARICP,1980,2061.0
ARICP,1981,1637.0
ARICP,1982,1522.0
ARICP,1983,1647.0
ARICP,1984,2485.0
ARICP,1985,2563.0
ARICP,1986,2530.0
ARICP,1987,2492.0
ARICP,1988,2683.0
ARICP,1989,2386.0
ARICP,1990,2367.0
ARICP,1991,2181.0
ARICP,1992,2984.0
