MSN,StateCode,Year,Data
ABICB,AZ,1960,0.0
ABICB,AZ,1961,0.0
ABICB,AZ,1962,0.0
ABICB,AZ,1963,0.0
ABICB,AZ,1964,0.0
ABICB,AZ,1965,0.0
ABICB,AZ,1966,0.0
ABICB,AZ,1967,0.0
ABICB,AZ,1968,0.0
ABICB,AZ,1969,0.0
ABICB,AZ,1970,0.0
ABICB,AZ,1971,0.0
ABICB,AZ,1972,0.0
ABICB,AZ,1973,0.0
ABICB,AZ,1974,0.0
ABICB,AZ,1975,0.0
ABICB,AZ,1976,0.0
ABICB,AZ,1977,0.0
ABICB,AZ,1978,0.0
ABICB,AZ,1979,0.0
ABICB,AZ,1980,0.0
ABICB,AZ,1981,1.2888
ABICB,AZ,1982,1.9799799999999999
ABICB,AZ,1983,0.0
ABICB,AZ,1984,0.0
ABICB,AZ,1985,0.0
ABICB,AZ,1986,0.0
ABICB,AZ,1987,0.0
ABICB,AZ,1988,0.0
ABICB,AZ,1989,0.06754
ABICB,AZ,1990,0.15861
ABICB,AZ,1991,-0.05396
ABICB,AZ,1992,0.10590999999999999
ABICB,AZ,1993,0.0
ABICB,AZ,1994,0.0
ABICB,AZ,1995,0.0
ABICB,AZ,1996,0.0
ABICB,AZ,1997,0.0
ABICB,AZ,1998,0.0
ABICB,AZ,1999,0.0
ABICB,AZ,2000,0.0
ABICB,AZ,2001,0.0
ABICB,AZ,2002,0.0
ABICB,AZ,2003,0.0
ABICB,AZ,2004,0.0
ABICB,AZ,2005,0.0
ABICB,AZ,2006,0.0
ABICB,AZ,2007,0.0
ABICB,AZ,2008,0.0
ABICB,AZ,2009,0.0
ABICP,AZ,1960,0.0
ABICP,AZ,1961,0.0
ABICP,AZ,1962,0.0
ABICP,AZ,1963,0.0
ABICP,AZ,1964,0.0
ABICP,AZ,1965,0.0
ABICP,AZ,1966,0.0
ABICP,AZ,1967,0.0
ABICP,AZ,1968,0.0
ABICP,AZ,1969,0.0
ABICP,AZ,1970,0.0
ABICP,AZ,1971,0.0
ABICP,AZ,1972,0.0
ABICP,AZ,1973,0.0
ABICP,AZ,1974,0.0
ABICP,AZ,1975,0.0
ABICP,AZ,1976,0.0
ABICP,AZ,1977,0.0
ABICP,AZ,1978,0.0
ABICP,AZ,1979,0.0
ABICP,AZ,1980,0.0
ABICP,AZ,1981,0.25531
ABICP,AZ,1982,0.39223
ABICP,AZ,1983,0.0
ABICP,AZ,1984,0.0
ABICP,AZ,1985,0.0
ABICP,AZ,1986,0.0
ABICP,AZ,1987,0.0
ABICP,AZ,1988,0.0
ABICP,AZ,1989,0.013380000000000001
ABICP,AZ,1990,0.03142
ABICP,AZ,1991,-0.01069
ABICP,AZ,1992,0.020980000000000002
