MSN,Year,Data
ABICB,1960,0.0
ABICB,1961,0.0
ABICB,1962,0.0
ABICB,1963,0.0
ABICB,1964,0.0
ABICB,1965,0.0
ABICB,1966,0.0
ABICB,1967,0.0
ABICB,1968,0.0
ABICB,1969,0.0
ABICB,1970,0.0
ABICB,1971,0.0
ABICB,1972,0.0
ABICB,1973,0.0
ABICB,1974,0.0
ABICB,1975,0.0
ABICB,1976,0.0
ABICB,1977,0.0
ABICB,1978,0.0
ABICB,1979,0.0
ABICB,1980,0.0
ABICB,1981,717.0
ABICB,1982,766.0
ABICB,1983,108.0
ABICB,1984,12.0
ABICB,1985,586.0
ABICB,1986,81.0
ABICB,1987,7.0
ABICB,1988,-157.0
ABICB,1989,15.0
ABICB,1990,33.0
ABICB,1991,-10.0
ABICB,1992,20.0
ABICB,1993,19.0
ABICB,1994,769.0
ABICB,1995,642.0
ABICB,1996,848.0
ABICB,1997,1092.0
ABICB,1998,475.0
ABICB,1999,747.0
ABICB,2000,449.0
ABICB,2001,739.0
ABICB,2002,907.0
ABICB,2003,885.0
ABICB,2004,1251.0
ABICB,2005,1016.0
ABICB,2006,76.0
ABICB,2007,208.0
ABICB,2008,11.0
ABICB,2009,-87.0
ABICB,2010,-27.0
ABICB,2011,1.0
ABICB,2012,0.0
ABICB,2013,-40.0
ABICB,2014,-15.0
ABICB,2015,-36.0
ABICP,1960,0.0
ABICP,1961,0.0
ABICP,1962,0.0
ABICP,1963,0.0
ABICP,1964,0.0
ABICP,1965,0.0
ABICP,1966,0.0
ABICP,1967,0.0
ABICP,1968,0.0
ABICP,1969,0.0
ABICP,1970,0.0
ABICP,1971,0.0
ABICP,1972,0.0
ABICP,1973,0.0
ABICP,1974,0.0
ABICP,1975,0.0
ABICP,1976,0.0
ABICP,1977,0.0
ABICP,1978,0.0
ABICP,1979,0.0
ABICP,1980,0.0
ABICP,1981,142.0
ABICP,1982,152.0
ABICP,1983,21.0
ABICP,1984,2.0
ABICP,1985,116.0
ABICP,1986,16.0
ABICP,1987,1.0
ABICP,1988,-31.0
ABICP,1989,3.0
ABICP,1990,7.0
ABICP,1991,-2.0
ABICP,1992,4.0
ABICP,1993,4.0
ABICP,1994,152.0
ABICP,1995,127.0
ABICP,1996,168.0
ABICP,1997,216.0
ABICP,1998,94.0
ABICP,1999,148.0
ABICP,2000,89.0
ABICP,2001,146.0
ABICP,2002,180.0
ABICP,2003,175.0
ABICP,2004,248.0
ABICP,2005,201.0
ABICP,2006,15.0
ABICP,2007,41.0
ABICP,2008,2.0
ABICP,2009,-17.0
ABICP,2010,-5.0
ABICP,2011,0.0
ABICP,2012,0.0
ABICP,2013,-8.0
ABICP,2014,-3.0
ABICP,2015,-7.0
ARICB,1960,70774.0
ARICB,1961,76145.0
ARICB,1962,78080.0
ARICB,1963,80479.0
ARICB,1964,83422.0
ARICB,1965,78915.0
ARICB,1966,80100.0
ARICB,1967,73535.0
ARICB,1968,78732.0
ARICB,1969,86849.0
ARICB,1970,80190.0
ARICB,1971,80855.0
ARICB,1972,81143.0
ARICB,1973,87352.0
ARICB,1974,79024.0
ARICB,1975,87239.0
ARICB,1976,93449.0
ARICB,1977,99519.0
ARICB,1978,101860.0
ARICB,1979,142558.0
ARICB,1980,122309.0
ARICB,1981,65242.0
ARICB,1982,65154.0
ARICB,1983,73769.0
ARICB,1984,101279.0
ARICB,1985,91894.0
ARICB,1986,102017.0
ARICB,1987,109216.0
ARICB,1988,101815.0
ARICB,1989,99514.0
ARICB,1990,98621.0
ARICB,1991,94570.0
ARICB,1992,89971.0
ARICB,1993,82504.0
ARICB,1994,81208.0
ARICB,1995,81036.0
ARICB,1996,82280.0
ARICB,1997,76391.0
ARICB,1998,103334.0
ARICB,1999,135150.0
ARICB,2000,135104.0
ARICB,2001,125555.0
ARICB,2002,118493.0
ARICB,2003,90544.0
ARICB,2004,91630.0
ARICB,2005,87110.0
ARICB,2006,80492.0
ARICB,2007,99922.0
ARICB,2008,82941.0
ARICB,2009,52437.0
ARICB,2010,33127.0
ARICB,2011,60093.0
ARICB,2012,53841.0
ARICB,2013,60091.0
ARICB,2014,57377.0
ARICB,2015,61494.0
ARICD,1970,0.49
ARICD,1971,0.64
ARICD,1972,0.64
ARICD,1973,0.69
ARICD,1974,1.47
ARICD,1975,1.62
ARICD,1976,1.6
ARICD,1977,1.7
ARICD,1978,1.81
ARICD,1979,2.72
ARICD,1980,3.78
ARICD,1981,4.59
ARICD,1982,3.98
ARICD,1983,4.4
ARICD,1984,4.56
ARICD,1985,4.78
ARICD,1986,5.08
ARICD,1987,5.36
ARICD,1988,4.53
ARICD,1989,3.1
ARICD,1990,3.13
ARICD,1991,3.18
ARICD,1992,2.74
ARICD,1993,2.6
ARICD,1994,2.95
ARICD,1995,3.09
ARICD,1996,3.41
ARICD,1997,3.51
ARICD,1998,3.68
ARICD,1999,3.6
ARICD,2000,3.43
ARICD,2001,3.91
ARICD,2002,4.06
ARICD,2003,4.5
ARICD,2004,4.74
ARICD,2005,5.04
ARICD,2006,5.7
ARICD,2007,7.37
ARICD,2008,7.52
ARICD,2009,12.98
ARICD,2010,13.11
ARICD,2011,14.83
ARICD,2012,16.79
ARICD,2013,15.59
ARICD,2014,15.97
ARICD,2015,13.57
ARICP,1960,10665.0
ARICP,1961,11474.0
ARICP,1962,11766.0
ARICP,1963,12128.0
ARICP,1964,12571.0
ARICP,1965,11892.0
ARICP,1966,12071.0
ARICP,1967,11081.0
ARICP,1968,11864.0
ARICP,1969,13087.0
ARICP,1970,12084.0
ARICP,1971,12184.0
ARICP,1972,12228.0
ARICP,1973,13163.0
ARICP,1974,11908.0
ARICP,1975,13146.0
ARICP,1976,14082.0
ARICP,1977,14997.0
ARICP,1978,15350.0
ARICP,1979,21482.0
ARICP,1980,18431.0
ARICP,1981,9831.0
ARICP,1982,9818.0
ARICP,1983,11117.0
ARICP,1984,15262.0
ARICP,1985,13848.0
ARICP,1986,15373.0
ARICP,1987,16458.0
ARICP,1988,15343.0
ARICP,1989,14996.0
ARICP,1990,14862.0
ARICP,1991,14251.0
