MSN,Year,Data
ABICB,2010,-27.0
ABICB,2011,1.0
ABICB,2012,0.0
ABICB,2013,-40.0
ABICB,2014,-15.0
ABICB,2015,-36.0
ABICP,2010,-5.0
ABICP,2011,0.0
ABICP,2012,0.0
ABICP,2013,-8.0
ABICP,2014,-3.0
ABICP,2015,-7.0
ARICB,2010,33127.0
ARICB,2011,60093.0
ARICB,2012,53841.0
ARICB,2013,60091.0
ARICB,2014,57377.0
ARICB,2015,61494.0
ARICD,2010,13.11
ARICD,2011,14.83
ARICD,2012,16.79
ARICD,2013,15.59
ARICD,2014,15.97
ARICD,2015,13.57
ARICP,2010,4992.0
ARICP,2011,9056.0
ARICP,2012,8113.0
ARICP,2013,9055.0
ARICP,2014,8646.0
ARICP,2015,9267.0
ARICV,2010,434.4
ARICV,2011,891.2
ARICV,2012,903.8
ARICV,2013,937.0
ARICV,2014,916.3
ARICV,2015,834.5
ARTCB,2010,33127.0
ARTCB,2011,60093.0
ARTCB,2012,53841.0
ARTCB,2013,60091.0
ARTCB,2014,57377.0
ARTCB,2015,61494.0
ARTCD,2010,13.11
ARTCD,2011,14.83
ARTCD,2012,16.79
ARTCD,2013,15.59
ARTCD,2014,15.97
ARTCD,2015,13.57
ARTCP,2010,4992.0
ARTCP,2011,9056.0
ARTCP,2012,8113.0
ARTCP,2013,9055.0
ARTCP,2014,8646.0
ARTCP,2015,9267.0
ARTCV,2010,434.4
ARTCV,2011,891.2
ARTCV,2012,903.8
ARTCV,2013,937.0
ARTCV,2014,916.3
ARTCV,2015,834.5
ARTXB,2010,33127.0
ARTXB,2011,60093.0
ARTXB,2012,53841.0
ARTXB,2013,60091.0
ARTXB,2014,57377.0
ARTXB,2015,61494.0
ARTXD,2010,13.11
ARTXD,2011,14.83
ARTXD,2012,16.79
ARTXD,2013,15.59
ARTXD,2014,15.97
ARTXD,2015,13.57
ARTXP,2010,4992.0
ARTXP,2011,9056.0
ARTXP,2012,8113.0
ARTXP,2013,9055.0
ARTXP,2014,8646.0
ARTXP,2015,9267.0
ARTXV,2010,434.4
ARTXV,2011,891.2
ARTXV,2012,903.8
ARTXV,2013,937.0
ARTXV,2014,916.3
ARTXV,2015,834.5
AVACB,2010,1757.0
AVACB,2011,1911.0
AVACB,2012,1911.0
AVACB,2013,1726.0
AVACB,2014,2371.0
AVACB,2015,3585.0
AVACD,2010,25.19
AVACD,2011,31.64
AVACD,2012,33.04
AVACD,2013,32.71
AVACD,2014,33.16
AVACD,2015,24.86
AVACP,2010,348.0
AVACP,2011,379.0
AVACP,2012,379.0
AVACP,2013,342.0
AVACP,2014,470.0
AVACP,2015,710.0
AVACV,2010,44.3
AVACV,2011,60.5
AVACV,2012,63.1
AVACV,2013,56.5
AVACV,2014,78.6
AVACV,2015,89.1
AVTCB,2010,1757.0
AVTCB,2011,1911.0
AVTCB,2012,1911.0
AVTCB,2013,1726.0
AVTCB,2014,2371.0
AVTCB,2015,3585.0
AVTCD,2010,25.19
AVTCD,2011,31.64
AVTCD,2012,33.04
AVTCD,2013,32.71
AVTCD,2014,33.16
AVTCD,2015,24.86
AVTCP,2010,348.0
AVTCP,2011,379.0
AVTCP,2012,379.0
AVTCP,2013,342.0
AVTCP,2014,470.0
AVTCP,2015,710.0
AVTCV,2010,44.3
AVTCV,2011,60.5
AVTCV,2012,63.1
AVTCV,2013,56.5
AVTCV,2014,78.6
AVTCV,2015,89.1
AVTXB,2010,1757.0
AVTXB,2011,1911.0
AVTXB,2012,1911.0
AVTXB,2013,1726.0
AVTXB,2014,2371.0
AVTXB,2015,3585.0
AVTXD,2010,25.19
AVTXD,2011,31.64
AVTXD,2012,33.04
AVTXD,2013,32.71
AVTXD,2014,33.16
AVTXD,2015,24.86
AVTXP,2010,348.0
AVTXP,2011,379.0
AVTXP,2012,379.0
AVTXP,2013,342.0
AVTXP,2014,470.0
AVTXP,2015,710.0
AVTXV,2010,44.3
AVTXV,2011,60.5
AVTXV,2012,63.1
AVTXV,2013,56.5
AVTXV,2014,78.6
AVTXV,2015,89.1
BMTCB,2010,280124.0
BMTCB,2011,282581.0
BMTCB,2012,280970.0
