MSN,Year,Data
ABICB,1960,0.0
ABICB,1961,0.0
ABICB,1962,0.0
ABICB,1963,0.0
ABICB,1964,0.0
ABICB,1965,0.0
ABICB,1966,0.0
ABICB,1967,0.0
ABICB,1968,0.0
ABICB,1969,0.0
ABICB,1970,0.0
ABICB,1971,0.0
ABICB,1972,0.0
ABICB,1973,0.0
ABICB,1974,0.0
ABICB,1975,0.0
ABICB,1976,0.0
ABICB,1977,0.0
ABICB,1978,0.0
ABICB,1979,0.0
ABICB,1980,0.0
ABICB,1981,38.0
ABICB,1982,34.0
ABICB,1983,5.0
ABICB,1984,0.0
ABICB,1985,19.0
ABICB,1986,3.0
ABICB,1987,0.0
ABICB,1988,-5.0
ABICB,1989,1.0
ABICB,1990,1.0
ABICB,1991,-1.0
ABICB,1992,1.0
ABICB,1993,1.0
ABICB,1994,38.0
ABICB,1995,33.0
ABICB,1996,43.0
ABICB,1997,55.0
ABICB,1998,24.0
ABICB,1999,37.0
ABICB,2000,22.0
ABICB,2001,36.0
ABICB,2002,44.0
ABICB,2003,43.0
ABICB,2004,70.0
ABICB,2005,57.0
ABICB,2006,5.0
ABICB,2007,13.0
ABICB,2008,1.0
ABICB,2009,-6.0
ABICB,2010,-2.0
ABICB,2011,0.0
ABICB,2012,0.0
ABICB,2013,-3.0
ABICB,2014,-1.0
ABICB,2015,-2.0
ABICP,1960,0.0
ABICP,1961,0.0
ABICP,1962,0.0
ABICP,1963,0.0
ABICP,1964,0.0
ABICP,1965,0.0
ABICP,1966,0.0
ABICP,1967,0.0
ABICP,1968,0.0
ABICP,1969,0.0
ABICP,1970,0.0
ABICP,1971,0.0
ABICP,1972,0.0
ABICP,1973,0.0
ABICP,1974,0.0
ABICP,1975,0.0
ABICP,1976,0.0
ABICP,1977,0.0
ABICP,1978,0.0
ABICP,1979,0.0
ABICP,1980,0.0
ABICP,1981,7.0
ABICP,1982,7.0
ABICP,1983,1.0
ABICP,1984,0.0
ABICP,1985,4.0
ABICP,1986,1.0
ABICP,1987,0.0
ABICP,1988,-1.0
ABICP,1989,0.0
ABICP,1990,0.0
ABICP,1991,0.0
ABICP,1992,0.0
ABICP,1993,0.0
ABICP,1994,8.0
ABICP,1995,7.0
ABICP,1996,9.0
ABICP,1997,11.0
ABICP,1998,5.0
ABICP,1999,7.0
ABICP,2000,4.0
ABICP,2001,7.0
ABICP,2002,9.0
ABICP,2003,8.0
ABICP,2004,14.0
ABICP,2005,11.0
ABICP,2006,1.0
ABICP,2007,2.0
ABICP,2008,0.0
ABICP,2009,-1.0
ABICP,2010,0.0
ABICP,2011,0.0
ABICP,2012,0.0
ABICP,2013,-1.0
ABICP,2014,0.0
ABICP,2015,0.0
ARICB,1960,6397.0
ARICB,1961,6716.0
ARICB,1962,6689.0
ARICB,1963,6816.0
ARICB,1964,7773.0
ARICB,1965,9210.0
ARICB,1966,8144.0
ARICB,1967,7576.0
ARICB,1968,9667.0
ARICB,1969,6418.0
ARICB,1970,8018.0
ARICB,1971,5394.0
ARICB,1972,6402.0
ARICB,1973,6605.0
ARICB,1974,9059.0
ARICB,1975,10830.0
ARICB,1976,9699.0
ARICB,1977,7953.0
ARICB,1978,9501.0
ARICB,1979,9430.0
ARICB,1980,7553.0
ARICB,1981,7722.0
ARICB,1982,9610.0
ARICB,1983,11774.0
ARICB,1984,12613.0
ARICB,1985,9961.0
ARICB,1986,10725.0
ARICB,1987,13728.0
ARICB,1988,14019.0
ARICB,1989,11052.0
ARICB,1990,9626.0
ARICB,1991,10117.0
ARICB,1992,12434.0
ARICB,1993,16179.0
ARICB,1994,14031.0
ARICB,1995,12337.0
ARICB,1996,10936.0
ARICB,1997,8180.0
ARICB,1998,13593.0
ARICB,1999,12625.0
ARICB,2000,11778.0
ARICB,2001,5250.0
ARICB,2002,13234.0
ARICB,2003,13126.0
ARICB,2004,13206.0
ARICB,2005,11943.0
ARICB,2006,12826.0
ARICB,2007,15602.0
ARICB,2008,11727.0
ARICB,2009,9282.0
ARICB,2010,9405.0
ARICB,2011,10541.0
ARICB,2012,10257.0
ARICB,2013,8710.0
ARICB,2014,8472.0
ARICB,2015,8145.0
ARICD,1970,0.58
ARICD,1971,0.82
ARICD,1972,0.82
ARICD,1973,0.85
ARICD,1974,1.75
ARICD,1975,1.84
ARICD,1976,1.68
ARICD,1977,1.78
ARICD,1978,1.94
ARICD,1979,2.47
ARICD,1980,3.67
ARICD,1981,4.48
ARICD,1982,4.16
ARICD,1983,4.16
ARICD,1984,4.5
ARICD,1985,4.79
ARICD,1986,4.35
ARICD,1987,3.19
ARICD,1988,3.39
ARICD,1989,2.87
ARICD,1990,2.76
ARICD,1991,3.45
ARICD,1992,2.99
ARICD,1993,3.12
ARICD,1994,3.05
ARICD,1995,3.3
ARICD,1996,3.55
ARICD,1997,3.72
ARICD,1998,3.68
ARICD,1999,3.4
ARICD,2000,3.35
ARICD,2001,3.43
ARICD,2002,3.73
ARICD,2003,4.1
ARICD,2004,4.58
ARICD,2005,4.85
ARICD,2006,5.2
ARICD,2007,5.49
ARICD,2008,5.66
ARICD,2009,15.83
ARICD,2010,17.0
ARICD,2011,17.32
ARICD,2012,18.45
ARICD,2013,17.54
ARICD,2014,17.88
ARICD,2015,16.81
ARICP,1960,964.0
ARICP,1961,1012.0
ARICP,1962,1008.0
ARICP,1963,1027.0
ARICP,1964,1171.0
ARICP,1965,1388.0
ARICP,1966,1227.0
ARICP,1967,1142.0
ARICP,1968,1457.0
ARICP,1969,967.0
ARICP,1970,1208.0
ARICP,1971,813.0
ARICP,1972,965.0
ARICP,1973,995.0
ARICP,1974,1365.0
ARICP,1975,1632.0
ARICP,1976,1462.0
ARICP,1977,1198.0
ARICP,1978,1432.0
ARICP,1979,1421.0
ARICP,1980,1138.0
ARICP,1981,1164.0
ARICP,1982,1448.0
ARICP,1983,1774.0
ARICP,1984,1901.0
ARICP,1985,1501.0
ARICP,1986,1616.0
ARICP,1987,2069.0
ARICP,1988,2113.0
ARICP,1989,1666.0
ARICP,1990,1451.0
ARICP,1991,1525.0
ARICP,1992,1874.0
