MSN,Year,Data
ABICB,1960,0.0
ABICB,1961,0.0
ABICB,1962,0.0
ABICB,1963,0.0
ABICB,1964,0.0
ABICB,1965,0.0
ABICB,1966,0.0
ABICB,1967,0.0
ABICB,1968,0.0
ABICB,1969,0.0
ABICB,1970,0.0
ABICB,1971,0.0
ABICB,1972,0.0
ABICB,1973,0.0
ABICB,1974,0.0
ABICB,1975,0.0
ABICB,1976,0.0
ABICB,1977,0.0
ABICB,1978,0.0
ABICB,1979,0.0
ABICB,1980,0.0
ABICB,1981,1387.0
ABICB,1982,1329.0
ABICB,1983,196.0
ABICB,1984,24.0
ABICB,1985,1050.0
ABICB,1986,145.0
ABICB,1987,12.0
ABICB,1988,-278.0
ABICB,1989,27.0
ABICB,1990,61.0
ABICB,1991,-21.0
ABICB,1992,40.0
ABICB,1993,37.0
ABICB,1994,1582.0
ABICB,1995,1373.0
ABICB,1996,1805.0
ABICB,1997,2363.0
ABICB,1998,1036.0
ABICB,1999,1665.0
ABICB,2000,997.0
ABICB,2001,1614.0
ABICB,2002,1974.0
ABICB,2003,1992.0
ABICB,2004,2889.0
ABICB,2005,2150.0
ABICB,2006,164.0
ABICB,2007,466.0
ABICB,2008,26.0
ABICB,2009,-220.0
ABICB,2010,-67.0
ABICB,2011,3.0
ABICB,2012,-1.0
ABICB,2013,-110.0
ABICB,2014,-41.0
ABICB,2015,-104.0
ABICP,1960,0.0
ABICP,1961,0.0
ABICP,1962,0.0
ABICP,1963,0.0
ABICP,1964,0.0
ABICP,1965,0.0
ABICP,1966,0.0
ABICP,1967,0.0
ABICP,1968,0.0
ABICP,1969,0.0
ABICP,1970,0.0
ABICP,1971,0.0
ABICP,1972,0.0
ABICP,1973,0.0
ABICP,1974,0.0
ABICP,1975,0.0
ABICP,1976,0.0
ABICP,1977,0.0
ABICP,1978,0.0
ABICP,1979,0.0
ABICP,1980,0.0
ABICP,1981,275.0
ABICP,1982,263.0
ABICP,1983,39.0
ABICP,1984,5.0
ABICP,1985,208.0
ABICP,1986,29.0
ABICP,1987,2.0
ABICP,1988,-55.0
ABICP,1989,5.0
ABICP,1990,12.0
ABICP,1991,-4.0
ABICP,1992,8.0
ABICP,1993,7.0
ABICP,1994,313.0
ABICP,1995,272.0
ABICP,1996,358.0
ABICP,1997,468.0
ABICP,1998,205.0
ABICP,1999,330.0
ABICP,2000,198.0
ABICP,2001,320.0
ABICP,2002,391.0
ABICP,2003,395.0
ABICP,2004,572.0
ABICP,2005,426.0
ABICP,2006,32.0
ABICP,2007,92.0
ABICP,2008,5.0
ABICP,2009,-44.0
ABICP,2010,-13.0
ABICP,2011,1.0
ABICP,2012,0.0
ABICP,2013,-22.0
ABICP,2014,-8.0
ABICP,2015,-21.0
ARICB,1960,41700.0
ARICB,1961,48305.0
ARICB,1962,50029.0
ARICB,1963,47427.0
ARICB,1964,48851.0
ARICB,1965,51835.0
ARICB,1966,56113.0
ARICB,1967,59553.0
ARICB,1968,61556.0
ARICB,1969,66145.0
ARICB,1970,78868.0
ARICB,1971,76175.0
ARICB,1972,75513.0
ARICB,1973,77978.0
ARICB,1974,81042.0
ARICB,1975,54080.0
ARICB,1976,44787.0
ARICB,1977,36099.0
ARICB,1978,47414.0
ARICB,1979,62155.0
ARICB,1980,72373.0
ARICB,1981,52579.0
ARICB,1982,52123.0
ARICB,1983,77780.0
ARICB,1984,71200.0
ARICB,1985,78355.0
ARICB,1986,90548.0
ARICB,1987,83620.0
ARICB,1988,95781.0
ARICB,1989,64249.0
ARICB,1990,92991.0
ARICB,1991,62183.0
ARICB,1992,78307.0
ARICB,1993,84504.0
ARICB,1994,72643.0
ARICB,1995,78263.0
ARICB,1996,79380.0
ARICB,1997,69739.0
ARICB,1998,74330.0
ARICB,1999,55993.0
ARICB,2000,52804.0
ARICB,2001,77777.0
ARICB,2002,87617.0
ARICB,2003,92344.0
ARICB,2004,86175.0
ARICB,2005,114068.0
ARICB,2006,104458.0
ARICB,2007,100465.0
ARICB,2008,71107.0
ARICB,2009,38051.0
ARICB,2010,44093.0
ARICB,2011,34084.0
ARICB,2012,38102.0
ARICB,2013,40617.0
ARICB,2014,43196.0
ARICB,2015,50030.0
ARICD,1970,0.74
ARICD,1971,0.76
ARICD,1972,0.78
ARICD,1973,0.77
ARICD,1974,1.56
ARICD,1975,1.77
ARICD,1976,1.85
ARICD,1977,2.0
ARICD,1978,2.22
ARICD,1979,2.51
ARICD,1980,3.79
ARICD,1981,5.18
ARICD,1982,4.42
ARICD,1983,4.24
ARICD,1984,4.19
ARICD,1985,4.2
ARICD,1986,4.58
ARICD,1987,3.35
ARICD,1988,3.21
ARICD,1989,2.84
ARICD,1990,2.94
ARICD,1991,3.33
ARICD,1992,2.33
ARICD,1993,3.14
ARICD,1994,2.94
ARICD,1995,3.18
ARICD,1996,3.32
ARICD,1997,3.49
ARICD,1998,3.54
ARICD,1999,3.73
ARICD,2000,3.8
ARICD,2001,3.79
ARICD,2002,3.83
ARICD,2003,4.22
ARICD,2004,4.74
ARICD,2005,5.3
ARICD,2006,5.73
ARICD,2007,6.16
ARICD,2008,6.37
ARICD,2009,10.62
ARICD,2010,12.39
ARICD,2011,14.43
ARICD,2012,15.81
ARICD,2013,15.14
ARICD,2014,15.29
ARICD,2015,12.59
ARICP,1960,6284.0
ARICP,1961,7279.0
ARICP,1962,7539.0
ARICP,1963,7147.0
ARICP,1964,7361.0
ARICP,1965,7811.0
ARICP,1966,8456.0
ARICP,1967,8974.0
ARICP,1968,9276.0
ARICP,1969,9968.0
ARICP,1970,11885.0
ARICP,1971,11479.0
ARICP,1972,11379.0
ARICP,1973,11751.0
ARICP,1974,12212.0
ARICP,1975,8150.0
ARICP,1976,6749.0
ARICP,1977,5440.0
ARICP,1978,7145.0
ARICP,1979,9366.0
ARICP,1980,10906.0
ARICP,1981,7923.0
ARICP,1982,7855.0
ARICP,1983,11721.0
ARICP,1984,10729.0
ARICP,1985,11808.0
ARICP,1986,13645.0
ARICP,1987,12601.0
ARICP,1988,14434.0
ARICP,1989,9682.0
ARICP,1990,14013.0
