MSN,Year,Data
ABICB,2010,-67.0
ABICB,2011,3.0
ABICB,2012,-1.0
ABICB,2013,-110.0
ABICB,2014,-41.0
ABICB,2015,-104.0
ABICP,2010,-13.0
ABICP,2011,1.0
ABICP,2012,0.0
ABICP,2013,-22.0
ABICP,2014,-8.0
ABICP,2015,-21.0
ARICB,2010,44093.0
ARICB,2011,34084.0
ARICB,2012,38102.0
ARICB,2013,40617.0
ARICB,2014,43196.0
ARICB,2015,50030.0
ARICD,2010,12.39
ARICD,2011,14.43
ARICD,2012,15.81
ARICD,2013,15.14
ARICD,2014,15.29
ARICD,2015,12.59
ARICP,2010,6645.0
ARICP,2011,5136.0
ARICP,2012,5742.0
ARICP,2013,6121.0
ARICP,2014,6509.0
ARICP,2015,7539.0
ARICV,2010,546.3
ARICV,2011,491.7
ARICV,2012,602.5
ARICV,2013,615.0
ARICV,2014,660.6
ARICV,2015,629.9
ARTCB,2010,44093.0
ARTCB,2011,34084.0
ARTCB,2012,38102.0
ARTCB,2013,40617.0
ARTCB,2014,43196.0
ARTCB,2015,50030.0
ARTCD,2010,12.39
ARTCD,2011,14.43
ARTCD,2012,15.81
ARTCD,2013,15.14
ARTCD,2014,15.29
ARTCD,2015,12.59
ARTCP,2010,6645.0
ARTCP,2011,5136.0
ARTCP,2012,5742.0
ARTCP,2013,6121.0
ARTCP,2014,6509.0
ARTCP,2015,7539.0
ARTCV,2010,546.3
ARTCV,2011,491.7
ARTCV,2012,602.5
ARTCV,2013,615.0
ARTCV,2014,660.6
ARTCV,2015,629.9
ARTXB,2010,44093.0
ARTXB,2011,34084.0
ARTXB,2012,38102.0
ARTXB,2013,40617.0
ARTXB,2014,43196.0
ARTXB,2015,50030.0
ARTXD,2010,12.39
ARTXD,2011,14.43
ARTXD,2012,15.81
ARTXD,2013,15.14
ARTXD,2014,15.29
ARTXD,2015,12.59
ARTXP,2010,6645.0
ARTXP,2011,5136.0
ARTXP,2012,5742.0
ARTXP,2013,6121.0
ARTXP,2014,6509.0
ARTXP,2015,7539.0
ARTXV,2010,546.3
ARTXV,2011,491.7
ARTXV,2012,602.5
ARTXV,2013,615.0
ARTXV,2014,660.6
ARTXV,2015,629.9
AVACB,2010,3138.0
AVACB,2011,3413.0
AVACB,2012,3498.0
AVACB,2013,3288.0
AVACB,2014,2277.0
AVACB,2015,1841.0
AVACD,2010,25.19
AVACD,2011,31.64
AVACD,2012,33.04
AVACD,2013,32.71
AVACD,2014,33.16
AVACD,2015,24.86
AVACP,2010,622.0
AVACP,2011,676.0
AVACP,2012,693.0
AVACP,2013,651.0
AVACP,2014,451.0
AVACP,2015,365.0
AVACV,2010,79.1
AVACV,2011,108.0
AVACV,2012,115.6
AVACV,2013,107.6
AVACV,2014,75.5
AVACV,2015,45.8
AVTCB,2010,3138.0
AVTCB,2011,3413.0
AVTCB,2012,3498.0
AVTCB,2013,3288.0
AVTCB,2014,2277.0
AVTCB,2015,1841.0
AVTCD,2010,25.19
AVTCD,2011,31.64
AVTCD,2012,33.04
AVTCD,2013,32.71
AVTCD,2014,33.16
AVTCD,2015,24.86
AVTCP,2010,622.0
AVTCP,2011,676.0
AVTCP,2012,693.0
AVTCP,2013,651.0
AVTCP,2014,451.0
AVTCP,2015,365.0
AVTCV,2010,79.1
AVTCV,2011,108.0
AVTCV,2012,115.6
AVTCV,2013,107.6
AVTCV,2014,75.5
AVTCV,2015,45.8
AVTXB,2010,3138.0
AVTXB,2011,3413.0
AVTXB,2012,3498.0
AVTXB,2013,3288.0
AVTXB,2014,2277.0
AVTXB,2015,1841.0
AVTXD,2010,25.19
AVTXD,2011,31.64
AVTXD,2012,33.04
AVTXD,2013,32.71
AVTXD,2014,33.16
AVTXD,2015,24.86
AVTXP,2010,622.0
AVTXP,2011,676.0
AVTXP,2012,693.0
AVTXP,2013,651.0
AVTXP,2014,451.0
AVTXP,2015,365.0
AVTXV,2010,79.1
